Sexo;Edad;Periodo;superviviente_total;superviviente_hombre;superviviente_mujer;esperanza_total;esperanza_hombre;esperanza_mujer
Ambos sexos;65 años;2019;91254,84754;88422,31963;94090,54552;21,570099;19,519963;23,40242
Ambos sexos;65 años;2018;90987,57152;88004,91668;93978,60659;21,246883;19,216672;23,065484
Ambos sexos;65 años;2017;90972,77418;88043,42709;93913,76027;21,152334;19,123459;22,965867
Ambos sexos;65 años;2016;90852,43376;87745,99676;93981,0506;21,208993;19,143034;23,050313
Ambos sexos;65 años;2015;90646,41965;87479,19919;93840,94146;20,827585;18,793134;22,645315
Ambos sexos;65 años;2014;90631,12831;87429,67923;93860,36177;21,112187;19,057086;22,923396
Ambos sexos;65 años;2013;90460,77067;87167,26691;93784,30187;21,009361;18,924309;22,844865
Ambos sexos;65 años;2012;90170,32209;86666,9376;93721,83145;20,590188;18,506909;22,432223
Ambos sexos;65 años;2011;89973,42139;86413,16564;93584,98682;20,671209;18,550457;22,533621
Ambos sexos;65 años;2010;89808,99195;86060,50188;93619,70806;20,541544;18,401749;22,41439
Ambos sexos;65 años;2009;89497,09341;85611,87274;93452,46133;20,238157;18,116032;22,096833
Ambos sexos;65 años;2008;89102,26831;85015,07893;93277,18054;20,021022;17,940719;21,833168
Ambos sexos;65 años;2007;88783,38194;84489,7713;93178,10393;19,785881;17,637529;21,667162
Ambos sexos;65 años;2006;88668,38858;84207,44795;93240,26362;19,825287;17,698184;21,666021
Ambos sexos;65 años;2005;88307,41443;83718,9821;93017,15329;19,252297;17,125355;21,110423
Ambos sexos;65 años;2004;88123,63333;83472,2423;92888,88892;19,365432;17,217053;21,22651
Ambos sexos;65 años;2003;87571,43296;82719,77008;92533,966;18,930679;16,831004;20,756343
Ambos sexos;65 años;2002;87529,07694;82566,62986;92600,37938;19,010215;16,859732;20,871898
Ambos sexos;65 años;2001;87355,36808;82301,99675;92505,51073;18,971467;16,814853;20,827024
Ambos sexos;65 años;2000;87103,42136;81952,9576;92353,19457;18,736215;16,607801;20,564943
Ambos sexos;65 años;1999;86746,62306;81453,82438;92145,77556;18,324048;16,166991;20,195169
Ambos sexos;65 años;1998;86727,15131;81444,18157;92110,91016;18,36648;16,215089;20,218052
Ambos sexos;65 años;1997;86359,2975;81023,9665;91805,50363;18,438283;16,299746;20,262486
Ambos sexos;65 años;1996;85572,30904;79866,44772;91435,94919;18,276793;16,158537;20,079974
Ambos sexos;65 años;1995;85331,7856;79557,18155;91264,34358;18,198943;16,096;19,977443
Ambos sexos;65 años;1994;85242,48607;79527,44781;91106,59814;18,158921;16,087008;19,899046
Ambos sexos;65 años;1993;84856,02347;79019,06503;90844,07341;17,899794;15,844071;19,62543
Ambos sexos;65 años;1992;84504,75974;78479,39147;90698,3594;17,92122;15,881408;19,621545
Ambos sexos;65 años;1991;84105,72797;78094,45985;90287,71252;17,569268;15,574615;19,22954
Ambos sexos;85 años;2019;56042,23867;45547,55493;66180,07187;7,163783;6,405447;7,620013
Ambos sexos;85 años;2018;54587,43969;43998,7445;64857,67675;6,943685;6,214771;7,378181
Ambos sexos;85 años;2017;54244,93163;43692,95139;64455,84963;6,867451;6,137029;7,300025
Ambos sexos;85 años;2016;54209,12657;43522,51213;64597,01165;6,975145;6,232525;7,407181
Ambos sexos;85 años;2015;52539,27472;41817,79021;62986,42663;6,680836;5,980357;7,083223
Ambos sexos;85 años;2014;53483,0446;42891,71285;63716,48789;6,954955;6,207724;7,376404
Ambos sexos;85 años;2013;52896,68387;42040,08482;63373,92336;6,903879;6,147345;7,327128
Ambos sexos;85 años;2012;51092,84136;40045,58078;61830,03936;6,5844;5,845995;6,993487
